"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"62","2006","Salinity",0.16,0.16,20,0.04,0.15,0.18,"TURU","GWMP"
"63","2006","Specific conductance",331.15,331.36,20,42.91,311.28,351.45,"TURU","GWMP"
"64","2006","Temperature, water",14.3,13.17,20,5.87,10.42,15.92,"TURU","GWMP"
"65","2007","Salinity",0.18,0.18,18,NA,NA,NA,"TURU","GWMP"
"66","2007","Specific conductance",363.15,354.77,17,25.26,341.78,367.76,"TURU","GWMP"
"67","2007","Temperature, water",15.8,13.77,17,5.35,11.02,16.52,"TURU","GWMP"
"68","2008","Salinity",0.17,0.17,17,0.06,0.13,0.2,"TURU","GWMP"
"69","2008","Specific conductance",342.9,350.43,18,106.13,297.65,403.21,"TURU","GWMP"
"70","2008","Temperature, water",14.35,14.12,18,5.42,11.42,16.81,"TURU","GWMP"
"71","2009","Salinity",0.16,0.16,18,0.02,0.15,0.17,"TURU","GWMP"
"72","2009","Specific conductance",331,325.3,16,34.79,306.76,343.84,"TURU","GWMP"
"73","2009","Temperature, water",14.9,13.71,17,5.86,10.7,16.72,"TURU","GWMP"
"74","2010","Salinity",0.17,0.16,20,0.03,0.14,0.17,"TURU","GWMP"
"75","2010","Specific conductance",345.9,327.66,20,54.59,302.11,353.21,"TURU","GWMP"
"76","2010","Temperature, water",12.4,13,20,6.32,10.04,15.95,"TURU","GWMP"
"77","2011","Salinity",0.18,0.16,19,0.04,0.15,0.18,"TURU","GWMP"
"78","2011","Specific conductance",369.1,339.18,19,75.21,302.93,375.43,"TURU","GWMP"
"79","2011","Temperature, water",14.8,14.42,19,5.42,11.81,17.03,"TURU","GWMP"
"80","2012","Salinity",0.18,0.18,20,0.02,0.17,0.19,"TURU","GWMP"
"81","2012","Specific conductance",379,518.1,21,657.31,218.9,817.3,"TURU","GWMP"
"82","2012","Temperature, water",14.4,13.08,20,6.03,10.26,15.9,"TURU","GWMP"
"83","2013","Salinity",0.18,0.19,20,0.03,0.17,0.2,"TURU","GWMP"
"84","2013","Specific conductance",367.85,385.31,20,60.12,357.17,413.45,"TURU","GWMP"
"85","2013","Temperature, water",13.5,14.02,20,6.27,11.09,16.95,"TURU","GWMP"
"86","2014","Salinity",0.19,0.18,6,0.02,0.16,0.2,"TURU","GWMP"
"87","2014","Specific conductance",389.05,370.82,6,36.97,332.02,409.62,"TURU","GWMP"
"88","2014","Temperature, water",15.7,16.05,6,2.23,13.71,18.39,"TURU","GWMP"
"89","2015","Salinity",0.2,0.21,8,0.05,0.17,0.26,"TURU","GWMP"
"90","2015","Specific conductance",402.05,447.75,8,114.76,351.81,543.69,"TURU","GWMP"
"91","2015","Temperature, water",11.95,12.07,8,8.13,5.28,18.87,"TURU","GWMP"
"92","2016","Salinity",0.2,0.22,8,0.03,0.19,0.24,"TURU","GWMP"
"93","2016","Specific conductance",417.4,444.12,8,68.43,386.92,501.33,"TURU","GWMP"
"94","2016","Temperature, water",16.8,15.8,8,7.68,9.38,22.22,"TURU","GWMP"
"95","2017","Salinity",0.2,0.19,10,0.01,0.19,0.2,"TURU","GWMP"
"96","2017","Specific conductance",408.05,404.71,10,13.13,395.32,414.1,"TURU","GWMP"
"97","2017","Temperature, water",7.3,11.38,10,6.33,6.85,15.91,"TURU","GWMP"
"98","2018","Salinity",0.2,0.19,12,0.02,0.18,0.2,"TURU","GWMP"
"99","2018","Specific conductance",408.85,398.46,12,44.1,370.44,426.48,"TURU","GWMP"
"100","2018","Temperature, water",11.7,12.96,12,6.34,8.93,16.99,"TURU","GWMP"
"101","2019","Salinity",0.16,0.16,9,0.03,0.14,0.18,"TURU","GWMP"
"102","2019","Specific conductance",333.4,339.33,9,58.88,294.07,384.59,"TURU","GWMP"
"103","2019","Temperature, water",17.6,13.93,9,7.41,8.23,19.63,"TURU","GWMP"
"104","2020","Salinity",0.13,0.14,7,NA,NA,NA,"TURU","GWMP"
"105","2020","Specific conductance",280.7,296.88,7,NA,NA,NA,"TURU","GWMP"
"106","2020","Temperature, water",7.35,8.93,7,NA,NA,NA,"TURU","GWMP"
"107","2021","Salinity",0.21,0.21,12,0.03,0.19,0.23,"TURU","GWMP"
"108","2021","Specific conductance",437.2,436.56,12,53.45,402.6,470.52,"TURU","GWMP"
"109","2021","Temperature, water",15.4,13.82,12,6.76,9.52,18.11,"TURU","GWMP"
"110","2022","Salinity",0.21,0.2,10,0.02,0.18,0.21,"TURU","GWMP"
"111","2022","Specific conductance",427.55,413.74,10,46.38,380.56,446.92,"TURU","GWMP"
"112","2022","Temperature, water",15.2,14.59,10,6.72,9.79,19.39,"TURU","GWMP"
"113","2023","Salinity",0.2,0.2,4,0.02,0.17,0.23,"TURU","GWMP"
"114","2023","Specific conductance",413.5,415.42,4,35.95,358.21,472.64,"TURU","GWMP"
"115","2023","Temperature, water",13.65,14.2,4,4.37,7.25,21.15,"TURU","GWMP"
"116","2004","Specific conductance",354,354,1,NA,NA,NA,"PIRU","GWMP"
"117","2005","Salinity",0.16,0.21,5,0.08,0.1,0.31,"PIRU","GWMP"
"118","2005","Specific conductance",325.1,378.94,9,139.91,271.4,486.49,"PIRU","GWMP"
"119","2005","Temperature, water",14.9,15.11,9,6.91,9.8,20.42,"PIRU","GWMP"
"120","2006","Salinity",0.14,0.16,30,0.09,0.13,0.2,"PIRU","GWMP"
"121","2006","Specific conductance",300.8,348.79,31,174.99,284.61,412.98,"PIRU","GWMP"
"122","2006","Temperature, water",16.45,14.93,30,6.93,12.35,17.52,"PIRU","GWMP"
"123","2007","Salinity",0.17,0.16,31,NA,NA,NA,"PIRU","GWMP"
"124","2007","Specific conductance",317.55,308.42,30,64.96,284.17,332.68,"PIRU","GWMP"
"125","2007","Temperature, water",17,14.21,30,6.25,11.88,16.55,"PIRU","GWMP"
"126","2008","Salinity",0.17,0.18,38,0.1,0.15,0.21,"PIRU","GWMP"
"127","2008","Specific conductance",344,372.74,38,187.61,311.07,434.41,"PIRU","GWMP"
"128","2008","Temperature, water",15.15,13.29,38,6.86,11.03,15.54,"PIRU","GWMP"
"129","2009","Salinity",0.15,0.15,31,0.03,0.14,0.16,"PIRU","GWMP"
"130","2009","Specific conductance",310,302.88,29,40.25,287.57,318.19,"PIRU","GWMP"
"131","2009","Temperature, water",17.45,15.58,30,5.62,13.48,17.68,"PIRU","GWMP"
"132","2010","Salinity",0.17,0.17,35,0.05,0.15,0.18,"PIRU","GWMP"
"133","2010","Specific conductance",358.3,341.3,35,91.46,309.88,372.72,"PIRU","GWMP"
"134","2010","Temperature, water",12.9,13.58,35,6.5,11.34,15.81,"PIRU","GWMP"
"135","2011","Salinity",0.17,0.17,28,0.05,0.14,0.19,"PIRU","GWMP"
"136","2011","Specific conductance",356,344.25,28,108.81,302.06,386.44,"PIRU","GWMP"
"137","2011","Temperature, water",15.45,15.1,28,6.72,12.49,17.7,"PIRU","GWMP"
"138","2012","Salinity",0.14,0.14,20,0.03,0.13,0.16,"PIRU","GWMP"
"139","2012","Specific conductance",293.3,306.11,21,61.83,277.97,334.26,"PIRU","GWMP"
"140","2012","Temperature, water",15.35,14.83,20,7.01,11.55,18.11,"PIRU","GWMP"
"141","2013","Salinity",0.17,0.28,18,0.3,0.13,0.43,"PIRU","GWMP"
"142","2013","Specific conductance",350.7,567.15,18,580.74,278.36,855.94,"PIRU","GWMP"
"143","2013","Temperature, water",14.7,15.33,18,7.69,11.5,19.15,"PIRU","GWMP"
"144","2014","Salinity",0.17,0.18,9,0.05,0.14,0.21,"PIRU","GWMP"
"145","2014","Specific conductance",353.9,367.11,9,97.21,292.39,441.83,"PIRU","GWMP"
"146","2014","Temperature, water",17.4,14,9,7.95,7.89,20.11,"PIRU","GWMP"
"147","2015","Salinity",0.18,0.93,8,1.41,-0.25,2.11,"PIRU","GWMP"
"148","2015","Specific conductance",388.8,1773.97,8,2622.56,-418.54,3966.49,"PIRU","GWMP"
"149","2015","Temperature, water",13.4,13.75,8,10.34,5.11,22.39,"PIRU","GWMP"
"150","2016","Salinity",0.2,0.35,8,0.31,0.09,0.61,"PIRU","GWMP"
"151","2016","Specific conductance",402.95,704.41,8,607.54,196.49,1212.33,"PIRU","GWMP"
"152","2016","Temperature, water",18.15,17.54,8,9.62,9.5,25.58,"PIRU","GWMP"
"153","2017","Salinity",0.17,0.16,14,0.1,0.11,0.22,"PIRU","GWMP"
"154","2017","Specific conductance",363.2,341.2,14,214.09,217.59,464.81,"PIRU","GWMP"
"155","2017","Temperature, water",13.9,14.81,14,8.4,9.96,19.67,"PIRU","GWMP"
"156","2018","Salinity",0.15,0.17,13,0.05,0.14,0.2,"PIRU","GWMP"
"157","2018","Specific conductance",316.6,362.88,13,88.73,309.26,416.5,"PIRU","GWMP"
"158","2018","Temperature, water",8.5,13.95,13,7.55,9.39,18.51,"PIRU","GWMP"
"159","2019","Salinity",0.14,0.14,13,0.04,0.11,0.17,"PIRU","GWMP"
"160","2019","Specific conductance",297,318.59,13,121.62,245.1,392.09,"PIRU","GWMP"
"161","2019","Temperature, water",19.9,15.44,13,8.3,10.42,20.46,"PIRU","GWMP"
"162","2020","Salinity",0.09,0.1,9,NA,NA,NA,"PIRU","GWMP"
"163","2020","Specific conductance",189.45,214.52,9,NA,NA,NA,"PIRU","GWMP"
"164","2020","Temperature, water",9.6,10.5,9,NA,NA,NA,"PIRU","GWMP"
"165","2021","Salinity",0.18,0.26,13,NA,NA,NA,"PIRU","GWMP"
"166","2021","Specific conductance",374.25,538.78,13,NA,NA,NA,"PIRU","GWMP"
"167","2021","Temperature, water",16.8,13.46,13,NA,NA,NA,"PIRU","GWMP"
"168","2022","Salinity",0.17,0.17,12,0.05,0.13,0.2,"PIRU","GWMP"
"169","2022","Specific conductance",368.85,353.71,12,108.62,284.69,422.72,"PIRU","GWMP"
"170","2022","Temperature, water",21.5,16.73,12,9.32,10.81,22.66,"PIRU","GWMP"
"171","2023","Salinity",0.17,0.16,3,0.04,0.07,0.25,"PIRU","GWMP"
"172","2023","Specific conductance",345.7,329.77,3,65.28,167.61,491.92,"PIRU","GWMP"
"173","2023","Temperature, water",18.4,16.83,3,5.62,2.88,30.79,"PIRU","GWMP"
"174","2004","Specific conductance",145.7,145.7,1,NA,NA,NA,"MIRU","GWMP"
"175","2005","Salinity",0.07,0.08,4,0.01,0.06,0.09,"MIRU","GWMP"
"176","2005","Specific conductance",138.15,151.62,4,30.65,102.85,200.4,"MIRU","GWMP"
"177","2005","Temperature, water",14.55,13.85,4,8.17,0.86,26.84,"MIRU","GWMP"
"178","2006","Salinity",0.06,0.06,11,0.01,0.06,0.07,"MIRU","GWMP"
"179","2006","Specific conductance",133.9,134.11,11,5.76,130.24,137.98,"MIRU","GWMP"
"180","2006","Temperature, water",14.6,14.3,10,6.43,9.7,18.9,"MIRU","GWMP"
"181","2007","Salinity",0.07,0.08,15,0.02,0.07,0.09,"MIRU","GWMP"
"182","2007","Specific conductance",142.7,144.32,15,10.75,138.37,150.27,"MIRU","GWMP"
"183","2007","Temperature, water",16.15,14.71,15,5.5,11.67,17.76,"MIRU","GWMP"
"184","2008","Salinity",0.07,0.07,11,0,0.06,0.07,"MIRU","GWMP"
"185","2008","Specific conductance",143.1,140.1,11,11.18,132.59,147.61,"MIRU","GWMP"
"186","2008","Temperature, water",15.5,13.29,11,6.61,8.85,17.73,"MIRU","GWMP"
"187","2009","Salinity",0.07,0.07,13,0,0.06,0.07,"MIRU","GWMP"
"188","2009","Specific conductance",139.9,138.85,11,9.06,132.77,144.94,"MIRU","GWMP"
"189","2009","Temperature, water",14.2,13.51,12,6.95,9.09,17.92,"MIRU","GWMP"
"190","2010","Salinity",0.08,0.08,19,0.01,0.07,0.08,"MIRU","GWMP"
"191","2010","Specific conductance",158.5,155.05,19,9.03,150.7,159.4,"MIRU","GWMP"
"192","2010","Temperature, water",12.2,13.26,19,7.68,9.56,16.97,"MIRU","GWMP"
"193","2011","Salinity",0.08,0.07,18,0.01,0.07,0.08,"MIRU","GWMP"
"194","2011","Specific conductance",161.8,151.45,18,19.62,141.7,161.2,"MIRU","GWMP"
"195","2011","Temperature, water",13.6,13.44,18,5.06,10.92,15.95,"MIRU","GWMP"
"196","2012","Salinity",0.07,0.07,12,0,0.07,0.08,"MIRU","GWMP"
"197","2012","Specific conductance",154.7,156.88,13,11.38,150,163.75,"MIRU","GWMP"
"198","2012","Temperature, water",12.05,12.49,12,6.43,8.41,16.58,"MIRU","GWMP"
"199","2013","Salinity",0.07,0.07,16,0,0.07,0.08,"MIRU","GWMP"
"200","2013","Specific conductance",156.85,157.34,16,7.34,153.42,161.25,"MIRU","GWMP"
"201","2013","Temperature, water",13.85,14.28,16,6.16,10.99,17.56,"MIRU","GWMP"
"202","2014","Salinity",0.08,0.07,7,0.01,0.06,0.09,"MIRU","GWMP"
"203","2014","Specific conductance",161.2,158.49,7,24.63,135.7,181.27,"MIRU","GWMP"
"204","2014","Temperature, water",15.1,11.54,7,6.99,5.07,18.01,"MIRU","GWMP"
"205","2015","Salinity",0.08,0.08,5,0.01,0.07,0.09,"MIRU","GWMP"
"206","2015","Specific conductance",167.7,170,5,16.52,149.48,190.52,"MIRU","GWMP"
"207","2015","Temperature, water",8.7,10.5,5,9.09,-0.79,21.79,"MIRU","GWMP"
"208","2016","Salinity",0.08,0.08,6,0,0.08,0.09,"MIRU","GWMP"
"209","2016","Specific conductance",176.2,174.05,6,8.39,165.25,182.85,"MIRU","GWMP"
"210","2016","Temperature, water",16.8,15.65,6,9.39,5.79,25.51,"MIRU","GWMP"
"211","2017","Salinity",0.08,0.08,12,0,0.08,0.08,"MIRU","GWMP"
"212","2017","Specific conductance",174.2,170.38,13,9.22,164.81,175.96,"MIRU","GWMP"
"213","2017","Temperature, water",13.4,11.6,13,5.41,8.33,14.87,"MIRU","GWMP"
"214","2018","Salinity",0.08,0.09,13,0.04,0.07,0.11,"MIRU","GWMP"
"215","2018","Specific conductance",166,190.55,13,74.63,145.46,235.65,"MIRU","GWMP"
"216","2018","Temperature, water",8.5,12.7,13,6.27,8.91,16.49,"MIRU","GWMP"
"217","2019","Salinity",0.09,0.09,15,0.01,0.08,0.09,"MIRU","GWMP"
"218","2019","Specific conductance",182,177.23,15,10.44,171.45,183.01,"MIRU","GWMP"
"219","2019","Temperature, water",17.6,14.03,15,7.35,9.96,18.1,"MIRU","GWMP"
"220","2020","Salinity",0.07,0.08,9,NA,NA,NA,"MIRU","GWMP"
"221","2020","Specific conductance",147.75,160.28,9,NA,NA,NA,"MIRU","GWMP"
"222","2020","Temperature, water",8.9,10.1,9,NA,NA,NA,"MIRU","GWMP"
"223","2021","Salinity",0.09,0.09,10,0,0.09,0.1,"MIRU","GWMP"
"224","2021","Specific conductance",194.5,195.09,10,7.13,189.99,200.19,"MIRU","GWMP"
"225","2021","Temperature, water",15.9,16,10,6.17,11.59,20.41,"MIRU","GWMP"
"226","2022","Salinity",0.09,0.12,11,0.08,0.06,0.17,"MIRU","GWMP"
"227","2022","Specific conductance",196,241.07,11,166.71,129.07,353.07,"MIRU","GWMP"
"228","2022","Temperature, water",19.3,14.26,11,7.44,9.27,19.26,"MIRU","GWMP"
"229","2023","Salinity",0.09,0.09,4,0,0.09,0.09,"MIRU","GWMP"
"230","2023","Specific conductance",184.4,186.48,4,6.64,175.91,197.04,"MIRU","GWMP"
"231","2023","Temperature, water",14.5,198.8,4,371.69,-392.64,790.24,"MIRU","GWMP"
"232","2005","Salinity",0.1,0.1,4,0.01,0.08,0.11,"DIRU","GWMP"
"233","2005","Specific conductance",196.9,202.88,4,17.09,175.68,230.07,"DIRU","GWMP"
"234","2005","Temperature, water",15.1,14.55,4,8.97,0.28,28.82,"DIRU","GWMP"
"235","2006","Salinity",0.1,0.11,21,0.04,0.09,0.13,"DIRU","GWMP"
"236","2006","Specific conductance",203.6,217.44,21,93.63,174.82,260.06,"DIRU","GWMP"
"237","2006","Temperature, water",15.1,14.83,21,6.88,11.7,17.96,"DIRU","GWMP"
"238","2007","Salinity",0.11,0.11,12,NA,NA,NA,"DIRU","GWMP"
"239","2007","Specific conductance",230.85,217.67,11,43.44,188.49,246.85,"DIRU","GWMP"
"240","2007","Temperature, water",15.7,13.01,11,7.41,8.03,17.99,"DIRU","GWMP"
"241","2008","Salinity",0.09,0.1,6,0.03,0.07,0.13,"DIRU","GWMP"
"242","2008","Specific conductance",192.6,214.16,6,65.55,145.36,282.95,"DIRU","GWMP"
"243","2008","Temperature, water",17.2,16.08,6,6.92,8.82,23.33,"DIRU","GWMP"
"244","2009","Salinity",NA,NA,1,NA,NA,NA,"DIRU","GWMP"
"245","2009","Specific conductance",NA,NA,1,NA,NA,NA,"DIRU","GWMP"
"246","2009","Temperature, water",NA,NA,1,NA,NA,NA,"DIRU","GWMP"
"247","2004","Specific conductance",621.8,621.8,1,NA,NA,NA,"FLSP","HAFE"
"248","2005","Salinity",0.33,0.35,5,0.09,0.24,0.46,"FLSP","HAFE"
"249","2005","Specific conductance",583,656.02,5,233.87,365.63,946.41,"FLSP","HAFE"
"250","2005","Temperature, water",16.9,13.72,5,8.92,2.64,24.8,"FLSP","HAFE"
"251","2006","Salinity",0.3,0.32,25,0.07,0.29,0.35,"FLSP","HAFE"
"252","2006","Specific conductance",628,648.99,25,155.1,584.97,713.01,"FLSP","HAFE"
"253","2006","Temperature, water",12.5,12.34,25,5.5,10.07,14.61,"FLSP","HAFE"
"254","2007","Salinity",0.3,0.31,27,0.01,0.3,0.31,"FLSP","HAFE"
"255","2007","Specific conductance",631,642.37,27,31.66,629.85,654.89,"FLSP","HAFE"
"256","2007","Temperature, water",12.5,13.33,27,7.24,10.46,16.19,"FLSP","HAFE"
"257","2008","Salinity",0.31,0.34,16,0.07,0.3,0.38,"FLSP","HAFE"
"258","2008","Specific conductance",656,715.84,16,121.28,651.22,780.47,"FLSP","HAFE"
"259","2008","Temperature, water",16.17,14.63,16,5.53,11.69,17.58,"FLSP","HAFE"
"260","2009","Salinity",0.32,0.35,15,0.06,0.32,0.39,"FLSP","HAFE"
"261","2009","Specific conductance",649.35,719.6,14,120.45,650.05,789.15,"FLSP","HAFE"
"262","2009","Temperature, water",19.7,17.29,14,6.52,13.53,21.06,"FLSP","HAFE"
"263","2010","Salinity",0.32,0.32,13,0.04,0.3,0.35,"FLSP","HAFE"
"264","2010","Specific conductance",671,668.46,14,72.31,626.71,710.22,"FLSP","HAFE"
"265","2010","Temperature, water",18.45,15,14,7.14,10.88,19.12,"FLSP","HAFE"
"266","2011","Salinity",0.35,0.35,18,0.03,0.33,0.36,"FLSP","HAFE"
"267","2011","Specific conductance",709.5,706.37,18,59.67,676.7,736.04,"FLSP","HAFE"
"268","2011","Temperature, water",13.8,15.58,18,6.16,12.51,18.64,"FLSP","HAFE"
"269","2012","Salinity",0.32,0.33,18,0.07,0.29,0.36,"FLSP","HAFE"
"270","2012","Specific conductance",656.55,655.38,18,80.86,615.16,695.59,"FLSP","HAFE"
"271","2012","Temperature, water",14,14.58,18,6.23,11.49,17.68,"FLSP","HAFE"
"272","2013","Salinity",0.32,0.32,17,0.02,0.31,0.33,"FLSP","HAFE"
"273","2013","Specific conductance",654,657.08,18,38.61,637.88,676.28,"FLSP","HAFE"
"274","2013","Temperature, water",13.3,15.25,17,7.62,11.33,19.17,"FLSP","HAFE"
"275","2014","Salinity",0.33,0.33,7,0.02,0.31,0.35,"FLSP","HAFE"
"276","2014","Specific conductance",664,675.59,7,33.07,645,706.17,"FLSP","HAFE"
"277","2014","Temperature, water",13.3,13.97,7,6.22,8.22,19.73,"FLSP","HAFE"
"278","2015","Salinity",0.33,0.33,7,0.02,0.31,0.35,"FLSP","HAFE"
"279","2015","Specific conductance",668,686.07,7,38.24,650.71,721.43,"FLSP","HAFE"
"280","2015","Temperature, water",15.3,14.83,7,7.99,7.44,22.22,"FLSP","HAFE"
"281","2016","Salinity",0.33,0.33,8,0.03,0.3,0.36,"FLSP","HAFE"
"282","2016","Specific conductance",685.35,680.35,8,68.41,623.16,737.54,"FLSP","HAFE"
"283","2016","Temperature, water",15.45,14.25,8,8.07,7.5,21,"FLSP","HAFE"
"284","2017","Salinity",0.34,0.37,10,0.1,0.3,0.44,"FLSP","HAFE"
"285","2017","Specific conductance",690.75,754.7,10,183.41,623.5,885.9,"FLSP","HAFE"
"286","2017","Temperature, water",15.65,14.47,10,7,9.46,19.48,"FLSP","HAFE"
"287","2018","Salinity",0.34,0.35,14,NA,NA,NA,"FLSP","HAFE"
"288","2018","Specific conductance",697.85,717.54,14,NA,NA,NA,"FLSP","HAFE"
"289","2018","Temperature, water",14.75,13.51,14,NA,NA,NA,"FLSP","HAFE"
"290","2019","Salinity",0.32,0.32,15,0.01,0.31,0.32,"FLSP","HAFE"
"291","2019","Specific conductance",650,648.01,15,11.35,641.73,654.3,"FLSP","HAFE"
"292","2019","Temperature, water",18.1,16.71,15,5.65,13.58,19.84,"FLSP","HAFE"
"293","2020","Salinity",0.33,0.33,8,NA,NA,NA,"FLSP","HAFE"
"294","2020","Specific conductance",682,682.67,8,NA,NA,NA,"FLSP","HAFE"
"295","2020","Temperature, water",7.8,7.8,8,NA,NA,NA,"FLSP","HAFE"
"296","2021","Salinity",0.33,0.33,10,NA,NA,NA,"FLSP","HAFE"
"297","2021","Specific conductance",680,648,10,NA,NA,NA,"FLSP","HAFE"
"298","2021","Temperature, water",18.5,17.32,10,NA,NA,NA,"FLSP","HAFE"
"299","2022","Salinity",0.33,0.32,12,0.02,0.31,0.34,"FLSP","HAFE"
"300","2022","Specific conductance",670,666.17,12,41.65,639.7,692.63,"FLSP","HAFE"
"301","2022","Temperature, water",11.75,13.01,12,8.46,7.63,18.39,"FLSP","HAFE"
"302","2023","Salinity",0.33,0.31,5,0.03,0.28,0.35,"FLSP","HAFE"
"303","2023","Specific conductance",670,640.2,5,52.16,575.43,704.97,"FLSP","HAFE"
"304","2023","Temperature, water",17.9,15.26,5,6.36,7.36,23.16,"FLSP","HAFE"
"305","2005","Salinity",0.06,0.06,4,0.02,0.03,0.08,"BLBZ","CATO"
"306","2005","Specific conductance",132.15,124.17,4,29.64,77.01,171.34,"BLBZ","CATO"
"307","2005","Temperature, water",13.2,11.4,4,6.61,0.88,21.92,"BLBZ","CATO"
"308","2006","Salinity",0.05,0.04,13,0.02,0.03,0.05,"BLBZ","CATO"
"309","2006","Specific conductance",103.9,98.73,13,20.83,86.14,111.32,"BLBZ","CATO"
"310","2006","Temperature, water",11.5,11.88,13,5.89,8.32,15.43,"BLBZ","CATO"
"311","2007","Salinity",0.04,0.05,13,NA,NA,NA,"BLBZ","CATO"
"312","2007","Specific conductance",101.2,108.95,11,39.92,82.12,135.77,"BLBZ","CATO"
"313","2007","Temperature, water",7.1,9.75,11,7.55,4.68,14.82,"BLBZ","CATO"
"314","2008","Salinity",0.06,0.06,10,NA,NA,NA,"BLBZ","CATO"
"315","2008","Specific conductance",115.8,118.8,10,NA,NA,NA,"BLBZ","CATO"
"316","2008","Temperature, water",11.95,11.1,10,NA,NA,NA,"BLBZ","CATO"
"317","2009","Salinity",0.05,0.05,11,NA,NA,NA,"BLBZ","CATO"
"318","2009","Specific conductance",105.5,103.19,8,17.41,88.63,117.74,"BLBZ","CATO"
"319","2009","Temperature, water",16.3,14.26,8,4.76,10.28,18.24,"BLBZ","CATO"
"320","2010","Salinity",0.05,0.09,10,0.11,0.01,0.17,"BLBZ","CATO"
"321","2010","Specific conductance",97.8,100.53,11,17.75,88.6,112.45,"BLBZ","CATO"
"322","2010","Temperature, water",14.45,12.66,10,5.92,8.43,16.89,"BLBZ","CATO"
"323","2011","Salinity",0.05,0.05,11,0.01,0.04,0.06,"BLBZ","CATO"
"324","2011","Specific conductance",111.6,109.61,11,30.38,89.2,130.02,"BLBZ","CATO"
"325","2011","Temperature, water",11.9,12.41,11,6.43,8.09,16.73,"BLBZ","CATO"
