"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"326","2012","Salinity",0.04,0.04,10,0.02,0.03,0.06,"BLBZ","CATO"
"327","2012","Specific conductance",89.75,98.43,10,29.05,77.65,119.21,"BLBZ","CATO"
"328","2012","Temperature, water",9.6,10.32,10,5.82,6.16,14.48,"BLBZ","CATO"
"329","2013","Salinity",0.04,0.04,10,0.01,0.04,0.05,"BLBZ","CATO"
"330","2013","Specific conductance",91,94.95,10,18.17,81.95,107.95,"BLBZ","CATO"
"331","2013","Temperature, water",10.5,11.22,10,7.46,5.89,16.55,"BLBZ","CATO"
"332","2014","Salinity",0.05,0.04,4,0.01,0.03,0.06,"BLBZ","CATO"
"333","2014","Specific conductance",101.7,95.08,4,16.27,69.19,120.96,"BLBZ","CATO"
"334","2014","Temperature, water",9.95,10.65,4,6.97,-0.44,21.74,"BLBZ","CATO"
"335","2015","Salinity",0.05,0.05,4,0.01,0.03,0.07,"BLBZ","CATO"
"336","2015","Specific conductance",103.55,102.35,4,21.96,67.41,137.29,"BLBZ","CATO"
"337","2015","Temperature, water",11.55,10.72,4,6.85,-0.18,21.63,"BLBZ","CATO"
"338","2016","Salinity",0.04,0.04,4,0.01,0.03,0.06,"BLBZ","CATO"
"339","2016","Specific conductance",88.5,95.8,4,18.99,65.58,126.02,"BLBZ","CATO"
"340","2016","Temperature, water",11.15,10.85,4,7.62,-1.28,22.98,"BLBZ","CATO"
"341","2017","Salinity",0.06,0.05,5,0.01,0.04,0.07,"BLBZ","CATO"
"342","2017","Specific conductance",124,115.28,5,19.85,90.63,139.93,"BLBZ","CATO"
"343","2017","Temperature, water",11,10.18,5,5.55,3.29,17.07,"BLBZ","CATO"
"344","2018","Salinity",0.04,0.04,7,0.01,0.03,0.05,"BLBZ","CATO"
"345","2018","Specific conductance",82.2,86.76,7,30.22,58.81,114.7,"BLBZ","CATO"
"346","2018","Temperature, water",14.1,10.69,7,6.94,4.27,17.1,"BLBZ","CATO"
"347","2019","Salinity",0.04,0.04,6,0.01,0.03,0.05,"BLBZ","CATO"
"348","2019","Specific conductance",72.85,75.23,6,17.3,57.08,93.39,"BLBZ","CATO"
"349","2019","Temperature, water",12.55,12.1,6,5.89,5.92,18.28,"BLBZ","CATO"
"350","2020","Salinity",0.05,0.05,6,NA,NA,NA,"BLBZ","CATO"
"351","2020","Specific conductance",104.5,97.23,6,NA,NA,NA,"BLBZ","CATO"
