Park,site,year,Alosa pseudoharengus,Ambloplites rupestris,Ameiurus natalis,Ameiurus nebulosus,Anguilla rostrata,Cambarus bartonii,Campostoma anomalum,Carassius auratus,Catostomus commersonii,Catostomus commersonnii,Clinostomus funduloides,Cottus caeruleomentum,Cottus cognatus,Cottus girardi,Cottus spp.,Crayfish,Cyprinella analostana,Cyprinella spiloptera,Desmognathus fuscus,Erimyzon oblongus,Esox niger,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma flabellare,Etheostoma olmstedi,Eurycea bislineata,Exoglossum maxillingua,Faxonius limosus,Faxonius sp.,Faxonius virilis,Fundulus diaphanus,Fundulus heteroclitus,Gambusia affinis,Gambusia holbrooki,Hybognathus regius,Hypentelium nigricans,Ictalurus punctatus,Lampetra aepyptera,Lampetra appendix,Lepomis auritus,Lepomis cyanellus,Lepomis gibbosus,Lepomis hybrid,Lepomis macrochirus,Lepomis megalotis,Lithobates catesbeianus,Lithobates sp.,Luxilus cornutus,Margariscus margarita,Menidia/membras sp.,Micropterus dolomieu,Micropterus salmoides,Moxostoma erythrurum,Nocomis leptocephalus,Nocomis micropogon,Notemigonus crysoleucas,Notropis buccatus,Notropis hudsonius,Notropis procne,Notropis rubellus,Noturus insignis,Oncorhynchus mykiss,Percina peltata,Petromyzon marinus,Pimephales notatus,Procambarus clarkii,Pseudotriton ruber,Rana clamitans,Rana sp.,Rhinichthys atratulus,Rhinichthys cataractae,Salamander,Salmo trutta,Salvelinus fontinalis,Semotilus atromaculatus,Semotilus corporalis,Umbra pygmaea
GWMP,MICR,2022,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,74,0,0,0,0,0,0,0
GWMP,MIRU,2004,0,0,2,0,7,0,5,0,0,13,12,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,4,0,0,0,5,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,35,0,0,0,9,0,0
GWMP,MIRU,2012,0,0,1,0,3,0,28,0,0,20,0,0,0,0,0,0,0,12,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,12,0,0,0,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,41,14,0,0,0,30,25,0
GWMP,MIRU,2022,0,0,1,0,7,15,7,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,16,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,1,13,0,0,4,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,10,0,0,0,5,0,0
GWMP,PIRU,2004,0,0,0,0,83,0,0,0,0,143,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,369,0,0,0,109,0,0
GWMP,PIRU,2006,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,0,0,0,5,0,0
GWMP,PIRU,2012,0,0,0,0,26,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,38,0,0,0,20,0,0
GWMP,PIRU,2022,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,0,0,0,3,0,0
GWMP,TURU,2004,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,0,42,0,0
GWMP,TURU,2012,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,10,0,0,0,18,1,0
GWMP,TURU,2022,0,0,0,0,9,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,23,0,0,0,11,0,0
HAFE,ELRD,2004,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,50,0,0,0,0,0,1,0
HAFE,ELRU,2004,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,27,0,0,0,0,0,0,0
HAFE,FLSP,2004,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
HAFE,FLSP,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,49,0,0,0,0,0,0
HAFE,FLSP,2022,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
MANA,CHBR,2004,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,11,0,0
MANA,YOBR,2004,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,88,2,0,46,0,0,0,0,0,0,4,0,0,0,0,0,0,1,10,0,0,0,0,0,55,0,0,0,0,3,19,0,0,0,7,28,0
MANA,YOBR,2010,0,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,11,0,0,0,1,6,0
MANA,YOBR,2022,0,0,1,0,0,0,8,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,23,1,5,0,11,9,0,0,0,6,2,1,0,0,0,5,76,0,0,4,0,0,0,3,0,0,2,27,0,0,0,0,0,61,0,0,13,0,0,0,30,0,0,0,0,0,6,0,0,0,3,57,0
MONO,BUCK,2004,0,0,11,0,0,0,120,0,0,30,0,107,0,96,0,0,0,33,0,0,0,13,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,107,91,0,0,0,1,0,0
MONO,BUCK,2010,0,3,16,0,0,0,371,0,0,126,6,386,0,45,0,0,6,0,0,0,0,82,92,24,26,0,1,0,0,0,0,0,0,0,0,5,0,0,0,26,6,0,0,1,3,0,0,0,0,0,9,0,0,0,0,0,0,0,50,20,2,0,0,0,100,0,0,0,0,317,211,0,0,0,5,19,0
MONO,BUCK,2022,0,5,1,0,0,0,10,0,31,0,0,57,0,21,0,0,0,3,0,0,0,54,128,50,6,0,0,0,194,55,0,0,0,0,0,0,0,0,0,12,2,0,0,1,0,0,0,0,0,0,7,0,0,1,32,0,0,3,0,14,5,0,0,0,73,0,0,0,0,0,57,0,0,0,0,10,0
MONO,GAMI,2004,0,0,5,0,0,0,8,0,0,102,0,201,0,15,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,37,0,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,527,67,0,0,0,7,0,0
MONO,GAMI,2010,0,0,0,0,0,0,0,0,0,14,0,33,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,4,0,0
MONO,GAMI,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONO,GAMI,2022,0,0,0,0,0,0,0,0,4,0,0,7,0,2,0,0,0,0,0,0,0,0,0,31,0,12,0,0,44,16,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,116,3,0,0,0,5,0,0
MONO,HARU,2004,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,398,9,0,0,0,0,0,0
MONO,SGAM,2004,0,0,3,0,3,0,73,0,0,10,0,121,0,19,0,0,0,16,0,0,0,34,4,8,16,0,0,0,0,0,0,0,0,0,0,4,1,0,0,18,2,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0,0,95,208,0,0,0,2,6,0
NACE,ACCK,2004,0,0,3,82,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,41,0,0,0,0,0,88,0,510,0,0,0,0,1,0,0,20,17,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,49,0,25
NACE,ACCK,2013,0,0,1,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10
NACE,HECR,2013,0,0,0,0,6,0,229,0,0,7,2,0,0,0,0,0,36,0,0,0,0,0,0,0,101,0,0,0,0,0,0,11,0,0,0,0,0,0,0,77,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,391,90,0,0,0,107,0,0
NACE,HECR,2022,0,0,0,0,13,0,89,0,38,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,38,1,0,2,0,0,0,0,0,0,0,0,0,0,0,152,18,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,52,0,1
NACE,OXRU,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0
NACE,OXRU,2013,0,0,0,2,66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,45,0,0,0,0,0,169,378,0,52,1462,0,0,0,0,46,0,73,0,23,10,0,0,0,0,0,0,8,0,0,0,0,0,29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
NACE,OXRU,2022,0,0,1,0,97,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,32,0,0,0,0,0,339,141,0,56,183,0,0,0,0,48,0,0,0,1,1,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
NACE,STCK,2004,0,0,0,0,8,0,0,3,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,0,0,0,32,0,0,0,0,0,0,0,1,0,9,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,120,10,0,0,0,19,0,0
NACE,STCK,2013,0,0,6,0,68,0,0,0,0,3,0,0,0,0,0,0,0,29,0,1,0,0,0,0,91,0,0,0,0,0,19,0,0,26,0,0,0,0,0,7,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,0,0,0,0,0,0,0,0,0,93,11,0,0,0,58,0,0
NACE,STCK,2022,0,0,0,0,59,0,3,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,66,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,5,0,3,0,0,0,0,0,0,0,0,75,51,0,0,0,27,2,1
PRWI,BONE,2021,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,1,5,0
PRWI,CARU,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0
PRWI,CARU,2021,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,12,5,0
PRWI,MARU,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
PRWI,MARU,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,0
PRWI,MBBR,2011,0,0,0,2,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,0,0,0,0,28,5,0
PRWI,MBBR,2021,0,0,0,0,17,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,22,11,0
PRWI,MBCH,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0
PRWI,MBCH,2011,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,20,0
PRWI,NFQC,2011,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,3,14,0
PRWI,NFQC,2021,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,2,20,0
PRWI,NOBR,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
PRWI,NOBR,2006,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,38,0,0,0,0,1,4,0
PRWI,NOBR,2011,0,0,0,0,0,0,0,0,0,44,19,0,0,0,0,0,0,0,0,33,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,37,0,0,0,0,0,25,0
PRWI,ORRU,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0
PRWI,SFQC,2021,0,0,0,0,64,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14,0
PRWI,SORU,2021,0,0,0,0,16,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18,0,0,0,0,21,31,0
PRWI,TARU,2011,0,0,0,0,1,0,0,0,0,19,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,42,0,0
PRWI,TARU,2021,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,16,0,0
