"","samplingYear","SubjectTaxonomicName","TotalCount","site","Park"
"1","2009","Rhinichthys atratulus",280,"MICR","GWMP"
"2","2022","Anguilla rostrata",3,"MICR","GWMP"
"3","2022","Eurycea bislineata",5,"MICR","GWMP"
"4","2022","Rana sp.",9,"MICR","GWMP"
"5","2022","Rhinichthys atratulus",74,"MICR","GWMP"
"6","2004","Anguilla rostrata",2,"TURU","GWMP"
"7","2004","Catostomus commersonnii",32,"TURU","GWMP"
"8","2004","Rhinichthys atratulus",99,"TURU","GWMP"
"9","2004","Rhinichthys cataractae",1,"TURU","GWMP"
"10","2004","Semotilus atromaculatus",42,"TURU","GWMP"
"11","2012","Anguilla rostrata",5,"TURU","GWMP"
"12","2012","Catostomus commersonnii",1,"TURU","GWMP"
"13","2012","Clinostomus funduloides",2,"TURU","GWMP"
"14","2012","Etheostoma flabellare",2,"TURU","GWMP"
"15","2012","Lepomis cyanellus",10,"TURU","GWMP"
"16","2012","Lepomis gibbosus",1,"TURU","GWMP"
"17","2012","Rhinichthys atratulus",279,"TURU","GWMP"
"18","2012","Rhinichthys cataractae",10,"TURU","GWMP"
"19","2012","Semotilus atromaculatus",18,"TURU","GWMP"
"20","2012","Semotilus corporalis",1,"TURU","GWMP"
"21","2022","Anguilla rostrata",9,"TURU","GWMP"
"22","2022","Cambarus bartonii",5,"TURU","GWMP"
"23","2022","Campostoma anomalum",2,"TURU","GWMP"
"24","2022","Clinostomus funduloides",1,"TURU","GWMP"
"25","2022","Eurycea bislineata",10,"TURU","GWMP"
"26","2022","Rhinichthys atratulus",64,"TURU","GWMP"
"27","2022","Rhinichthys cataractae",23,"TURU","GWMP"
"28","2022","Semotilus atromaculatus",11,"TURU","GWMP"
"29","2004","Anguilla rostrata",83,"PIRU","GWMP"
"30","2004","Catostomus commersonnii",143,"PIRU","GWMP"
"31","2004","Clinostomus funduloides",53,"PIRU","GWMP"
"32","2004","Lepomis auritus",4,"PIRU","GWMP"
"33","2004","Rhinichthys atratulus",686,"PIRU","GWMP"
"34","2004","Rhinichthys cataractae",369,"PIRU","GWMP"
"35","2004","Semotilus atromaculatus",109,"PIRU","GWMP"
"36","2006","Anguilla rostrata",23,"PIRU","GWMP"
"37","2006","Catostomus commersonnii",1,"PIRU","GWMP"
"38","2006","Lepomis auritus",2,"PIRU","GWMP"
"39","2006","Rhinichthys atratulus",45,"PIRU","GWMP"
"40","2006","Rhinichthys cataractae",27,"PIRU","GWMP"
"41","2006","Semotilus atromaculatus",5,"PIRU","GWMP"
"42","2012","Anguilla rostrata",26,"PIRU","GWMP"
"43","2012","Catostomus commersonnii",7,"PIRU","GWMP"
"44","2012","Lepomis auritus",13,"PIRU","GWMP"
"45","2012","Rhinichthys atratulus",78,"PIRU","GWMP"
"46","2012","Rhinichthys cataractae",38,"PIRU","GWMP"
"47","2012","Semotilus atromaculatus",20,"PIRU","GWMP"
"48","2022","Anguilla rostrata",29,"PIRU","GWMP"
"49","2022","Eurycea bislineata",1,"PIRU","GWMP"
"50","2022","Rhinichthys atratulus",9,"PIRU","GWMP"
"51","2022","Rhinichthys cataractae",38,"PIRU","GWMP"
"52","2022","Semotilus atromaculatus",3,"PIRU","GWMP"
"53","2004","Ameiurus natalis",2,"MIRU","GWMP"
"54","2004","Anguilla rostrata",7,"MIRU","GWMP"
"55","2004","Campostoma anomalum",5,"MIRU","GWMP"
"56","2004","Catostomus commersonnii",13,"MIRU","GWMP"
"57","2004","Clinostomus funduloides",12,"MIRU","GWMP"
"58","2004","Cottus girardi",3,"MIRU","GWMP"
"59","2004","Erimyzon oblongus",1,"MIRU","GWMP"
"60","2004","Lepomis auritus",16,"MIRU","GWMP"
"61","2004","Lepomis cyanellus",13,"MIRU","GWMP"
"62","2004","Lepomis macrochirus",4,"MIRU","GWMP"
"63","2004","Luxilus cornutus",5,"MIRU","GWMP"
"64","2004","Micropterus salmoides",20,"MIRU","GWMP"
"65","2004","Moxostoma erythrurum",2,"MIRU","GWMP"
"66","2004","Rhinichthys atratulus",75,"MIRU","GWMP"
"67","2004","Rhinichthys cataractae",35,"MIRU","GWMP"
"68","2004","Semotilus atromaculatus",9,"MIRU","GWMP"
"69","2012","Ameiurus natalis",1,"MIRU","GWMP"
"70","2012","Anguilla rostrata",3,"MIRU","GWMP"
"71","2012","Campostoma anomalum",28,"MIRU","GWMP"
"72","2012","Catostomus commersonnii",20,"MIRU","GWMP"
"73","2012","Cyprinella spiloptera",12,"MIRU","GWMP"
"74","2012","Etheostoma blennioides",3,"MIRU","GWMP"
"75","2012","Etheostoma flabellare",6,"MIRU","GWMP"
"76","2012","Hypentelium nigricans",1,"MIRU","GWMP"
"77","2012","Lepomis auritus",2,"MIRU","GWMP"
"78","2012","Lepomis cyanellus",1,"MIRU","GWMP"
"79","2012","Lepomis macrochirus",12,"MIRU","GWMP"
"80","2012","Luxilus cornutus",4,"MIRU","GWMP"
"81","2012","Micropterus dolomieu",2,"MIRU","GWMP"
"82","2012","Micropterus salmoides",1,"MIRU","GWMP"
"83","2012","Nocomis micropogon",1,"MIRU","GWMP"
"84","2012","Pimephales notatus",13,"MIRU","GWMP"
"85","2012","Rhinichthys atratulus",41,"MIRU","GWMP"
"86","2012","Rhinichthys cataractae",14,"MIRU","GWMP"
"87","2012","Semotilus atromaculatus",30,"MIRU","GWMP"
"88","2012","Semotilus corporalis",25,"MIRU","GWMP"
"89","2022","Ameiurus natalis",1,"MIRU","GWMP"
"90","2022","Anguilla rostrata",7,"MIRU","GWMP"
"91","2022","Cambarus bartonii",15,"MIRU","GWMP"
"92","2022","Campostoma anomalum",7,"MIRU","GWMP"
"93","2022","Crayfish",24,"MIRU","GWMP"
"94","2022","Etheostoma flabellare",16,"MIRU","GWMP"
"95","2022","Eurycea bislineata",35,"MIRU","GWMP"
"96","2022","Faxonius virilis",2,"MIRU","GWMP"
"97","2022","Lepomis auritus",1,"MIRU","GWMP"
"98","2022","Lepomis cyanellus",13,"MIRU","GWMP"
"99","2022","Lepomis macrochirus",4,"MIRU","GWMP"
"100","2022","Nocomis leptocephalus",1,"MIRU","GWMP"
"101","2022","Nocomis micropogon",6,"MIRU","GWMP"
"102","2022","Procambarus clarkii",8,"MIRU","GWMP"
"103","2022","Rhinichthys atratulus",13,"MIRU","GWMP"
"104","2022","Rhinichthys cataractae",10,"MIRU","GWMP"
"105","2022","Semotilus atromaculatus",5,"MIRU","GWMP"
"106","2004","Anguilla rostrata",1,"FLSP","HAFE"
"107","2004","Catostomus commersonnii",3,"FLSP","HAFE"
"108","2004","Cyprinella spiloptera",4,"FLSP","HAFE"
"109","2004","Etheostoma blennioides",1,"FLSP","HAFE"
"110","2004","Gambusia affinis",3,"FLSP","HAFE"
"111","2004","Lepomis cyanellus",8,"FLSP","HAFE"
"112","2004","Lepomis gibbosus",3,"FLSP","HAFE"
"113","2004","Nocomis micropogon",5,"FLSP","HAFE"
"114","2004","Pimephales notatus",104,"FLSP","HAFE"
"115","2013","Ameiurus natalis",1,"FLSP","HAFE"
"116","2013","Etheostoma blennioides",2,"FLSP","HAFE"
"117","2013","Nocomis micropogon",4,"FLSP","HAFE"
"118","2013","Pimephales notatus",4,"FLSP","HAFE"
"119","2013","Rhinichthys cataractae",49,"FLSP","HAFE"
"120","2022","Ameiurus natalis",2,"FLSP","HAFE"
"121","2022","Cambarus bartonii",9,"FLSP","HAFE"
"122","2022","Campostoma anomalum",1,"FLSP","HAFE"
"123","2022","Etheostoma blennioides",5,"FLSP","HAFE"
"124","2022","Eurycea bislineata",1,"FLSP","HAFE"
"125","2022","Faxonius sp.",24,"FLSP","HAFE"
"126","2022","Faxonius virilis",9,"FLSP","HAFE"
"127","2022","Micropterus salmoides",1,"FLSP","HAFE"
